State Code,State Name,Type,Age Group,Two Total,Two Male,Two Female,Three Total,Three Male,Three Female
8,RAJASTHAN,Urban,Total,2828916,1567886,1261030,397244,228224,169020
8,RAJASTHAN,Urban,5-9,142848,76377,66471,7210,3957,3253
8,RAJASTHAN,Urban,10-14,264529,142041,122488,27255,14728,12527
8,RAJASTHAN,Urban,15-19,355918,191503,164415,54515,29038,25477
8,RAJASTHAN,Urban,20-24,375734,199857,175877,60163,31608,28555
8,RAJASTHAN,Urban,25-29,326551,176448,150103,49975,27145,22830
8,RAJASTHAN,Urban,30-49,897235,503526,393709,131248,76553,54695
8,RAJASTHAN,Urban,50-69,378176,226838,151338,55240,36824,18416
8,RAJASTHAN,Urban,70+,79194,46432,32762,10171,7532,2639
8,RAJASTHAN,Urban,Age not stated,8731,4864,3867,1467,839,628
9,UTTAR PRADESH,Total,Total,20287945,11762916,8525029,2585664,1546993,1038671
9,UTTAR PRADESH,Total,5-9,1102189,578186,524003,60460,31151,29309
9,UTTAR PRADESH,Total,10-14,2391646,1260189,1131457,269061,138833,130228
9,UTTAR PRADESH,Total,15-19,3386389,1809282,1577107,506007,263405,242602
9,UTTAR PRADESH,Total,20-24,2941288,1674198,1267090,429516,243722,185794
9,UTTAR PRADESH,Total,25-29,2121501,1213938,907563,287802,169276,118526
9,UTTAR PRADESH,Total,30-49,5478025,3338128,2139897,678745,441130,237615
9,UTTAR PRADESH,Total,50-69,2223801,1478557,745244,277046,203414,73632
9,UTTAR PRADESH,Total,70+,462417,307208,155209,57610,44471,13139
9,UTTAR PRADESH,Total,Age not stated,180689,103230,77459,19417,11591,7826
9,UTTAR PRADESH,Rural,Total,9650049,5827004,3823045,1267848,814164,453684
9,UTTAR PRADESH,Rural,5-9,557596,291914,265682,26852,14020,12832
9,UTTAR PRADESH,Rural,10-14,1306593,689608,616985,159168,83682,75486
9,UTTAR PRADESH,Rural,15-19,1870699,1017213,853486,294526,159596,134930
9,UTTAR PRADESH,Rural,20-24,1443265,866571,576694,217320,133254,84066
9,UTTAR PRADESH,Rural,25-29,952927,586476,366451,133506,87529,45977
9,UTTAR PRADESH,Rural,30-49,2351186,1551366,799820,298146,220876,77270
9,UTTAR PRADESH,Rural,50-69,898406,642259,256147,108175,91502,16673
9,UTTAR PRADESH,Rural,70+,199882,139573,60309,21679,18233,3446
9,UTTAR PRADESH,Rural,Age not stated,69495,42024,27471,8476,5472,3004
9,UTTAR PRADESH,Urban,Total,10637896,5935912,4701984,1317816,732829,584987
9,UTTAR PRADESH,Urban,5-9,544593,286272,258321,33608,17131,16477
9,UTTAR PRADESH,Urban,10-14,1085053,570581,514472,109893,55151,54742
9,UTTAR PRADESH,Urban,15-19,1515690,792069,723621,211481,103809,107672
9,UTTAR PRADESH,Urban,20-24,1498023,807627,690396,212196,110468,101728
9,UTTAR PRADESH,Urban,25-29,1168574,627462,541112,154296,81747,72549
9,UTTAR PRADESH,Urban,30-49,3126839,1786762,1340077,380599,220254,160345
9,UTTAR PRADESH,Urban,50-69,1325395,836298,489097,168871,111912,56959
9,UTTAR PRADESH,Urban,70+,262535,167635,94900,35931,26238,9693
9,UTTAR PRADESH,Urban,Age not stated,111194,61206,49988,10941,6119,4822
10,BIHAR,Total,Total,15079213,8415020,6664193,1682572,1028475,654097
10,BIHAR,Total,5-9,1711737,888699,823038,93094,48296,44798
10,BIHAR,Total,10-14,2587182,1371939,1215243,261823,137806,124017
10,BIHAR,Total,15-19,1833895,1045665,788230,276454,156516,119938
10,BIHAR,Total,20-24,1510386,847010,663376,219430,132395,87035
10,BIHAR,Total,25-29,1367786,751857,615929,173385,105971,67414
10,BIHAR,Total,30-49,3946194,2246932,1699262,451722,296247,155475
10,BIHAR,Total,50-69,1725675,1020385,705290,171077,124939,46138
10,BIHAR,Total,70+,347705,214983,132722,30580,23246,7334
10,BIHAR,Total,Age not stated,48653,27550,21103,5007,3059,1948
10,BIHAR,Rural,Total,12667581,7080819,5586762,1262676,785074,477602
10,BIHAR,Rural,5-9,1519399,788303,731096,75186,39114,36072
10,BIHAR,Rural,10-14,2270843,1206670,1064173,213171,113165,100006
10,BIHAR,Rural,15-19,1519613,876964,642649,211907,123240,88667
10,BIHAR,Rural,20-24,1232502,694432,538070,161918,100689,61229
10,BIHAR,Rural,25-29,1128733,622630,506103,127446,80188,47258
10,BIHAR,Rural,30-49,3249326,1856711,1392615,328222,220926,107296
10,BIHAR,Rural,50-69,1421253,836010,585243,119665,88939,30726
10,BIHAR,Rural,70+,288426,177893,110533,21787,16699,5088
10,BIHAR,Rural,Age not stated,37486,21206,16280,3374,2114,1260
10,BIHAR,Urban,Total,2411632,1334201,1077431,419896,243401,176495
10,BIHAR,Urban,5-9,192338,100396,91942,17908,9182,8726
10,BIHAR,Urban,10-14,316339,165269,151070,48652,24641,24011
10,BIHAR,Urban,15-19,314282,168701,145581,64547,33276,31271
10,BIHAR,Urban,20-24,277884,152578,125306,57512,31706,25806
10,BIHAR,Urban,25-29,239053,129227,109826,45939,25783,20156
10,BIHAR,Urban,30-49,696868,390221,306647,123500,75321,48179
10,BIHAR,Urban,50-69,304422,184375,120047,51412,36000,15412
10,BIHAR,Urban,70+,59279,37090,22189,8793,6547,2246
10,BIHAR,Urban,Age not stated,11167,6344,4823,1633,945,688
11,SIKKIM,Total,Total,207597,113913,93684,181402,99427,81975
11,SIKKIM,Total,5-9,15602,7861,7741,5788,2873,2915
11,SIKKIM,Total,10-14,24687,12509,12178,21665,10613,11052
11,SIKKIM,Total,15-19,22676,11831,10845,30656,14858,15798
11,SIKKIM,Total,20-24,24802,13458,11344,28271,14295,13976
11,SIKKIM,Total,25-29,24645,13831,10814,25399,13451,11948
11,SIKKIM,Total,30-49,63217,35697,27520,53862,32317,21545
11,SIKKIM,Total,50-69,25305,14747,10558,13550,9489,4061
11,SIKKIM,Total,70+,6226,3746,2480,1933,1373,560
11,SIKKIM,Total,Age not stated,437,233,204,278,158,120
11,SIKKIM,Rural,Total,156054,86517,69537,118176,65545,52631
11,SIKKIM,Rural,5-9,11849,5946,5903,3536,1716,1820
11,SIKKIM,Rural,10-14,19335,9828,9507,15422,7527,7895
11,SIKKIM,Rural,15-19,17429,9180,8249,22145,10722,11423
11,SIKKIM,Rural,20-24,18741,10226,8515,19388,9994,9394
11,SIKKIM,Rural,25-29,18234,10429,7805,16540,8915,7625
11,SIKKIM,Rural,30-49,45716,26183,19533,32330,20126,12204
11,SIKKIM,Rural,50-69,19357,11411,7946,7438,5550,1888
11,SIKKIM,Rural,70+,5007,3107,1900,1175,882,293
11,SIKKIM,Rural,Age not stated,386,207,179,202,113,89
11,SIKKIM,Urban,Total,51543,27396,24147,63226,33882,29344
11,SIKKIM,Urban,5-9,3753,1915,1838,2252,1157,1095
11,SIKKIM,Urban,10-14,5352,2681,2671,6243,3086,3157
11,SIKKIM,Urban,15-19,5247,2651,2596,8511,4136,4375
11,SIKKIM,Urban,20-24,6061,3232,2829,8883,4301,4582
11,SIKKIM,Urban,25-29,6411,3402,3009,8859,4536,4323
11,SIKKIM,Urban,30-49,17501,9514,7987,21532,12191,9341
11,SIKKIM,Urban,50-69,5948,3336,2612,6112,3939,2173
11,SIKKIM,Urban,70+,1219,639,580,758,491,267
11,SIKKIM,Urban,Age not stated,51,26,25,76,45,31
12,ARUNACHAL PRADESH,Total,Total,467394,241747,225647,418551,236666,181885
12,ARUNACHAL PRADESH,Total,5-9,56806,28793,28013,22366,11463,10903
12,ARUNACHAL PRADESH,Total,10-14,75106,37731,37375,64679,32966,31713
12,ARUNACHAL PRADESH,Total,15-19,55872,28042,27830,74224,37805,36419
12,ARUNACHAL PRADESH,Total,20-24,49050,24324,24726,58807,30484,28323
12,ARUNACHAL PRADESH,Total,25-29,48192,24309,23883,51105,28120,22985
12,ARUNACHAL PRADESH,Total,30-49,132626,69253,63373,118602,74319,44283
12,ARUNACHAL PRADESH,Total,50-69,41568,24547,17021,25303,19155,6148
