State Code,State Name,Age Group,TOT_P,TOT_M,TOT_F
25,DAMAN & DIU (25),45-49,9618,5649,3969
25,DAMAN & DIU (25),50-54,6610,3646,2964
25,DAMAN & DIU (25),55-59,5056,2576,2480
25,DAMAN & DIU (25),60-64,4308,1977,2331
25,DAMAN & DIU (25),65-69,2753,1182,1571
25,DAMAN & DIU (25),70-74,2103,841,1262
25,DAMAN & DIU (25),75-79,1067,437,630
25,DAMAN & DIU (25),80+,1130,436,694
25,DAMAN & DIU (25),Age not stated,356,248,108
26,DADRA & NAGAR HAVELI (26),All ages,343709,193760,149949
26,DADRA & NAGAR HAVELI (26),0-4,36561,18902,17659
26,DADRA & NAGAR HAVELI (26),5-9,36249,19059,17190
26,DADRA & NAGAR HAVELI (26),10-14,35003,18385,16618
26,DADRA & NAGAR HAVELI (26),15-19,33104,19979,13125
26,DADRA & NAGAR HAVELI (26),20-24,44301,27595,16706
26,DADRA & NAGAR HAVELI (26),25-29,39885,23496,16389
26,DADRA & NAGAR HAVELI (26),30-34,30641,17957,12684
26,DADRA & NAGAR HAVELI (26),35-39,25277,14862,10415
26,DADRA & NAGAR HAVELI (26),40-44,18181,10554,7627
26,DADRA & NAGAR HAVELI (26),45-49,13789,7671,6118
26,DADRA & NAGAR HAVELI (26),50-54,9503,5215,4288
26,DADRA & NAGAR HAVELI (26),55-59,6951,3526,3425
26,DADRA & NAGAR HAVELI (26),60-64,5831,2794,3037
26,DADRA & NAGAR HAVELI (26),65-69,3716,1755,1961
26,DADRA & NAGAR HAVELI (26),70-74,2309,973,1336
26,DADRA & NAGAR HAVELI (26),75-79,958,394,564
26,DADRA & NAGAR HAVELI (26),80+,1078,443,635
26,DADRA & NAGAR HAVELI (26),Age not stated,372,200,172
27,MAHARASHTRA (27),All ages,112374333,58243056,54131277
27,MAHARASHTRA (27),0-4,9362026,4939629,4422397
27,MAHARASHTRA (27),5-9,9820654,5178177,4642477
27,MAHARASHTRA (27),10-14,10734535,5662261,5072274
