Sr No,Name,District_Key,State_Code,TOT_P,TOT_M,TOT_F
420,Shahid Bhagat Singh Nagar,PB_Shahid Bhagat Singh Nagar,PB,612310,313291,299019
421,Sri Muktsar Sahib,PB_Sri Muktsar Sahib,PB,901896,475622,426274
422,Tarn Taran,PB_Tarn Taran,PB,1119627,589369,530258
423,Karaikal,PY_Karaikal,PY,200222,97809,102413
424,Mahe,PY_Mahe,PY,41816,19143,22673
425,Puducherry,PY_Puducherry,PY,1247953,612511,635442
427,Ajmer,RJ_Ajmer,RJ,2583052,1324085,1258967
428,Alwar,RJ_Alwar,RJ,3674179,1939026,1735153
429,Banswara,RJ_Banswara,RJ,1797485,907754,889731
430,Baran,RJ_Baran,RJ,1222755,633945,588810
431,Barmer,RJ_Barmer,RJ,2603751,1369022,1234729
432,Bharatpur,RJ_Bharatpur,RJ,2548462,1355726,1192736
433,Bhilwara,RJ_Bhilwara,RJ,2408523,1220736,1187787
434,Bikaner,RJ_Bikaner,RJ,2363937,1240801,1123136
435,Bundi,RJ_Bundi,RJ,1110906,577160,533746
436,Chittorgarh,RJ_Chittorgarh,RJ,1544338,783171,761167
437,Churu,RJ_Churu,RJ,2039547,1051446,988101
438,Dausa,RJ_Dausa,RJ,1634409,857787,776622
439,Dholpur,RJ_Dholpur,RJ,1206516,653647,552869
440,Dungarpur,RJ_Dungarpur,RJ,1388552,696532,692020
441,Ganganagar,RJ_Ganganagar,RJ,1969168,1043340,925828
442,Hanumangarh,RJ_Hanumangarh,RJ,1774692,931184,843508
443,Jaipur,RJ_Jaipur,RJ,6626178,3468507,3157671
444,Jaisalmer,RJ_Jaisalmer,RJ,669919,361708,308211
445,Jalore,RJ_Jalore,RJ,1828730,936634,892096
446,Jhalawar,RJ_Jhalawar,RJ,1411129,725143,685986
447,Jhunjhunu,RJ_Jhunjhunu,RJ,2137045,1095896,1041149
448,Jodhpur,RJ_Jodhpur,RJ,3687165,1923928,1763237
449,Karauli,RJ_Karauli,RJ,1458248,783639,674609
450,Kota,RJ_Kota,RJ,1951014,1021161,929853
451,Nagaur,RJ_Nagaur,RJ,3307743,1696325,1611418
452,Pali,RJ_Pali,RJ,2037573,1025422,1012151
453,Pratapgarh,RJ_Pratapgarh,RJ,867848,437744,430104
454,Rajsamand,RJ_Rajsamand,RJ,1156597,581339,575258
455,Sawai Madhopur,RJ_Sawai Madhopur,RJ,1335551,704031,631520
456,Sikar,RJ_Sikar,RJ,2677333,1374990,1302343
457,Sirohi,RJ_Sirohi,RJ,1036346,534231,502115
458,Tonk,RJ_Tonk,RJ,1421326,728136,693190
459,Udaipur,RJ_Udaipur,RJ,3068420,1566801,1501619
460,Sikkim,Sikkim,SK,610577,323070,287507
461,Telangana,Telangana,TL,35193978,17704078,17489900
463,Ariyalur,TN_Ariyalur,TN,754894,374703,380191
464,Chennai,TN_Chennai,TN,4646732,2335844,2310888
465,Coimbatore,TN_Coimbatore,TN,3458045,1729297,1728748
466,Cuddalore,TN_Cuddalore,TN,2605914,1311697,1294217
467,Dharmapuri,TN_Dharmapuri,TN,1506843,774303,732540
468,Dindigul,TN_Dindigul,TN,2159775,1080938,1078837
469,Erode,TN_Erode,TN,2251744,1129868,1121876
470,Kancheepuram,TN_Kancheepuram,TN,3998252,2012958,1985294
471,Kanyakumari,TN_Kanyakumari,TN,1870374,926345,944029
472,Karur,TN_Karur,TN,1064493,528184,536309
473,Krishnagiri,TN_Krishnagiri,TN,1879809,960232,919577
474,Madurai,TN_Madurai,TN,3038252,1526475,1511777
475,Nagapattinam,TN_Nagapattinam,TN,1616450,798127,818323
476,Namakkal,TN_Namakkal,TN,1726601,869280,857321
477,Nilgiris,TN_Nilgiris,TN,735394,360143,375251
478,Perambalur,TN_Perambalur,TN,565223,282157,283066
479,Pudukkottai,TN_Pudukkottai,TN,1618345,803188,815157
480,Ramanathapuram,TN_Ramanathapuram,TN,1353445,682658,670787
481,Salem,TN_Salem,TN,3482056,1781571,1700485
482,Sivaganga,TN_Sivaganga,TN,1339101,668672,670429
483,Thanjavur,TN_Thanjavur,TN,2405890,1182416,1223474
484,Theni,TN_Theni,TN,1245899,625683,620216
485,Thiruvallur,TN_Thiruvallur,TN,3728104,1876062,1852042
486,Thiruvarur,TN_Thiruvarur,TN,1264277,626693,637584
487,Thoothukkudi,TN_Thoothukkudi,TN,1750176,865021,885155
488,Tiruchirappalli,TN_Tiruchirappalli,TN,2722290,1352284,1370006
489,Tirunelveli,TN_Tirunelveli,TN,3077233,1520912,1556321
490,Tiruppur,TN_Tiruppur,TN,2479052,1246159,1232893
491,Tiruvannamalai,TN_Tiruvannamalai,TN,2464875,1235889,1228986
492,Vellore,TN_Vellore,TN,3936331,1961688,1974643
493,Viluppuram,TN_Viluppuram,TN,3458873,1740819,1718054
494,Virudhunagar,TN_Virudhunagar,TN,1942288,967709,974579
496,Dhalai,TR_Dhalai,TR,378230,194544,183686
497,North Tripura,TR_North Tripura,TR,693947,352860,341087
498,South Tripura,TR_South Tripura,TR,876001,447544,428457
499,West Tripura,TR_West Tripura,TR,1725739,879428,846311
501,Agra,UP_Agra,UP,4418797,2364953,2053844
502,Aligarh,UP_Aligarh,UP,3673889,1951996,1721893
503,Ambedkar Nagar,UP_Ambedkar Nagar,UP,2397888,1212410,1185478
504,Amroha,UP_Amroha,UP,1840221,963449,876772
505,Auraiya,UP_Auraiya,UP,1379545,740040,639505
506,Ayodhya,UP_Ayodhya,UP,2470996,1259628,1211368
507,Azamgarh,UP_Azamgarh,UP,4613913,2285004,2328909
508,Baghpat,UP_Baghpat,UP,1303048,700070,602978
509,Bahraich,UP_Bahraich,UP,3487731,1843884,1643847
510,Ballia,UP_Ballia,UP,3239774,1672902,1566872
511,Balrampur,UP_Balrampur,UP,2148665,1114721,1033944
512,Banda,UP_Banda,UP,1799410,965876,833534
513,Barabanki,UP_Barabanki,UP,3260699,1707073,1553626
514,Bareilly,UP_Bareilly,UP,4448359,2357665,2090694
515,Basti,UP_Basti,UP,2464464,1255272,1209192
516,Bhadohi,UP_Bhadohi,UP,1578213,807099,771114
517,Bijnor,UP_Bijnor,UP,3682713,1921215,1761498
518,Budaun,UP_Budaun,UP,3681896,1967759,1714137
519,Bulandshahr,UP_Bulandshahr,UP,3499171,1845260,1653911
520,Chandauli,UP_Chandauli,UP,1952756,1017905,934851
521,Chitrakoot,UP_Chitrakoot,UP,991730,527721,464009
522,Deoria,UP_Deoria,UP,3100946,1537436,1563510
523,Etah,UP_Etah,UP,1774480,947339,827141
524,Etawah,UP_Etawah,UP,1581810,845856,735954
525,Farrukhabad,UP_Farrukhabad,UP,1885204,1006240,878964
526,Fatehpur,UP_Fatehpur,UP,2632733,1384722,1248011
527,Firozabad,UP_Firozabad,UP,2498156,1332046,1166110
528,Gautam Buddha Nagar,UP_Gautam Buddha Nagar,UP,1648115,890214,757901
529,Ghaziabad,UP_Ghaziabad,UP,4681645,2488834,2192811
530,Ghazipur,UP_Ghazipur,UP,3620268,1855075,1765193
531,Gonda,UP_Gonda,UP,3433919,1787146,1646773
532,Gorakhpur,UP_Gorakhpur,UP,4440895,2277777,2163118
533,Hamirpur,UP_Hamirpur,UP,454768,217070,237698
534,Hardoi,UP_Hardoi,UP,4092845,2191442,1901403
535,Hathras,UP_Hathras,UP,1564708,836127,728581
536,Jalaun,UP_Jalaun,UP,1689974,906092,783882
537,Jaunpur,UP_Jaunpur,UP,4494204,2220465,2273739
538,Jhansi,UP_Jhansi,UP,1998603,1057436,941167
539,Kannauj,UP_Kannauj,UP,1656616,881776,774840
540,Kanpur Dehat,UP_Kanpur Dehat,UP,1796184,963255,832929
541,Kanpur Nagar,UP_Kanpur Nagar,UP,4581268,2459806,2121462
542,Kasganj,UP_Kasganj,UP,1436719,764165,672554
543,Kaushambi,UP_Kaushambi,UP,1599596,838485,761111
544,Kushinagar,UP_Kushinagar,UP,3564544,1818055,1746489
